T2 Airport (Chhatrapati Shivaji),14381
T1 Airport (Santa Cruz),10334
Bandra West,10208
Andheri West,9303
Andheri East,9186
Bandra East,8128
Thane,6192
Kurla,6163
Dadar,6162
Borivali,6066
Kandivali,5187
BKC,5177
Ghatkopar,5171
Malad,5166
Santacruz,5114
Vile Parle,5110
Juhu,5075
Goregaon,5061
Lower Parel,4280
Navi Mumbai,4148
CST (Mumbai),4131
Jogeshwari,4116
Mahim,4082
Khar,3988
Powai,3972
Prabhadevi,3204
Vashi,3130
Mulund,3118
Linking Road,3109
Dahisar,3089
Worli,3080
Vikhroli,3079
Bhandup,3058
Churchgate,3052
Fort,3044
Marine Lines,3042
Kanjurmarg,3012
Colaba,2994
Mahalaxmi,2055
Nariman Point,2033
