T2 Airport (Chhatrapati Shivaji),13650
T1 Airport (Santa Cruz),10213
Bandra West,9991
Andheri East,9041
Andheri West,9020
Bandra East,8142
Thane,6338
Borivali,6219
Dadar,6065
Kurla,5964
Ghatkopar,5284
Santacruz,5232
Malad,5177
Juhu,5158
BKC,5156
Vile Parle,5129
Goregaon,5110
Kandivali,5093
Mahim,4228
Navi Mumbai,4212
Jogeshwari,4160
Powai,4155
Khar,4110
CST (Mumbai),4090
Lower Parel,3980
Mulund,3240
Marine Lines,3202
Fort,3188
Churchgate,3186
Vikhroli,3161
Bhandup,3159
Dahisar,3145
Kanjurmarg,3127
Colaba,3120
Linking Road,3118
Prabhadevi,3100
Vashi,3092
Worli,3047
Nariman Point,2106
Mahalaxmi,2092
