T2 Airport (Chhatrapati Shivaji),3172082
Thane,2776328
Bandra West,2502208
Borivali,2398307
T1 Airport (Santa Cruz),2282469
Andheri West,2198134
Andheri East,2107944
Bandra East,1851919
Kandivali,1799458
Navi Mumbai,1757536
Dadar,1709861
CST (Mumbai),1665976
Malad,1631961
Goregaon,1443935
Colaba,1408069
Kurla,1394360
Dahisar,1352373
Lower Parel,1324771
Ghatkopar,1286570
Churchgate,1277971
Vashi,1249516
Fort,1237371
Juhu,1225421
Marine Lines,1197098
BKC,1169394
Santacruz,1118304
Mulund,1116842
Vile Parle,1114091
Jogeshwari,1038539
Mahim,1030521
Powai,1017591
Bhandup,967890
Prabhadevi,922130
Worli,910699
Khar,900418
Kanjurmarg,860129
Nariman Point,859892
Vikhroli,828451
Linking Road,712155
Mahalaxmi,685352
